VIN	Vinaya Piṭaka 	Виная Питака
VINa	Vinaya Piṭaka Aṭṭhakathā 	Виная Питака Комментарий
VMVt	Vimativinodanī-ṭīkā 	Вимативинодани Подкомментарий
voc	vocative 	звательный падеж
VV	Vimāna Vatthu 	Вимана Ваттху
x	no gender 	не имеет рода
Var	various reading 	различное чтение
Mil	Milinda Pañha 	Милинда Панха
wrt	with regard to 	по отношению к
PDB	Princeton Dictionary of Buddhism 	Словарь Буддизма Принстонского университета
досл	дословно, буквально 	
обр	образно, фигурально 	
комм	перевод из комментария 	
